1.4057779312,f
0.2034239769,f
0.4151611328,f
0.1893119812,f
0.4382910728,b
0.9141237736,b
1.0696001053,b
0.8267390728,f
0.1896669865,f
0.2729430199,f
0.1883318424,f
0.4714841843,b
0.8153059483,b
0.9985208511,b
0.849075079,f
0.1984529495,f
0.327557087,f
0.1976130009,f
0.4627540112,b
0.904540062,b
0.9598197937,b
0.777301073,f
0.1848981381,f
0.3538439274,f
0.194439888,f
0.4196131229,b
0.910214901,b
1.0588061809,b
0.7933459282,f
0.1769840717,f
0.2704107762,f
0.1991422176,f
0.3661339283,b
1.0104720593,b
0.9580929279,b
0.8040039539,f
0.1840980053,f
0.3108410836,f
0.1934950351,f
0.0953689194,u
2.1972729588,v
0.9081220626,f
0.2160279751,f
0.2428889275,f
0.19445014,f
0.4421908855,b
0.871240139,b
0.776832819,b
1.0545580387,f
0.1876299382,f
0.1487861156,u
0.1726610184,f
0.1999268532,f
0.4765450954,b
0.8249030113,b
0.797976017,b
0.2979880047,v
0.7096158791,f
0.1823971271,f
0.3456170559,f
0.1780068874,f
0.4084880352,b
0.953852892,b
1.0038211345,b
0.7217049599,f
0.1928050518,f
0.3603320122,f
0.178155899,f
0.4607110024,b
0.8796350956,b
0.8434829712,b
0.9842290878,f
0.1904947758,f
0.3143811226,f
0.1803898811,f
0.4202730656,b
0.955302,b
0.1663040638,s
0.5762229443,s
0.4237770557,s
0.45,s
0.0157838821,f
0.1734330655,f
0.2962479591,f
0.1953389645,f
0.6541070938,b
0.8192260265,b
0.8,b
